lane_id,origin_site_id,destination_site_id,active_days,total_observed_trips,total_orders,total_weight_kg,total_volume_m3,distance_km_p50,duration_hours_p50,duration_hours_p90,daily_weight_p50_kg,daily_weight_p90_kg,daily_volume_p50_m3,daily_volume_p90_m3,destination_city_count_p50
site_0329__site_0340,site_0329,site_0340,6,6,6,11.73,0.079566,26.39,0.6311111111111112,0.6311111111111112,1.68,3.185,0.010786,0.024974999999999997,1.0
site_0388__site_2322,site_0388,site_2322,6,6,6,6.67,0.05380799,48.25,1.3416666666666668,1.3416666666666668,0.8300000000000001,2.15,0.006205110000000001,0.016676885,1.0
site_1071__site_2300,site_1071,site_2300,6,6,6,9.74,0.089424,26.71,1.5829166666666667,1.5829166666666667,1.1,3.42,0.007805,0.032885,1.0
site_1873__site_1841,site_1873,site_1841,4,4,6,7.76,0.053403,13.64,0.7622222222222222,0.7622222222222222,1.7799999999999998,2.8080000000000003,0.012459000000000001,0.0161406,1.0
site_1425__site_1438,site_1425,site_1438,5,5,6,7.76,0.055539000000000005,27.9,1.0922222222222222,1.0922222222222222,1.2,2.296,0.010179,0.016854,1.0
site_2125__site_1723,site_2125,site_1723,5,5,6,7.789999999999999,0.06672836,1695.69,26.836111111111112,26.836111111111112,1.2,2.5999999999999996,0.010935,0.021321,1.0
site_2125__site_2026,site_2125,site_2026,5,5,6,8.32,0.059702000000000005,1134.7,17.3725,17.3725,1.56,2.216,0.01053,0.016308000000000003,1.0
site_1873__site_1863,site_1873,site_1863,5,5,6,10.16,0.132637,14.09,0.4097222222222222,0.4097222222222222,1.0,3.8960000000000004,0.004875,0.06946920000000001,1.0
site_2149__site_1533,site_2149,site_1533,4,4,6,6.609999999999999,0.051188000000000004,215.9,2.666388888888889,2.666388888888889,1.6749999999999998,2.894,0.012797000000000001,0.021572,1.0
site_2149__site_1587,site_2149,site_1587,6,6,6,7.86,0.06290676,217.24,3.648472222222222,3.648472222222222,1.05,2.59,0.009136930000000001,0.01829445,1.0
site_1873__site_1874,site_1873,site_1874,5,5,6,6.2,0.034729,4.54,0.7452777777777778,0.7452777777777778,1.0,1.6800000000000002,0.006,0.0097786,1.0
site_2158__site_0025,site_2158,site_0025,4,4,6,7.859999999999999,0.054574000000000004,59.68,2.8419444444444446,2.8419444444444446,1.85,3.302,0.011236000000000001,0.025191,1.0
site_2158__site_0028,site_2158,site_0028,5,5,6,5.255,0.028168000000000002,40.61,1.7827777777777778,1.7827777777777778,1.0,1.153,0.004875,0.007738200000000001,1.0
site_0164__site_0271,site_0164,site_0271,5,5,5,8.27,0.062484,15.43,1.1027777777777779,1.1027777777777779,1.2,2.8020000000000005,0.008775,0.023814000000000002,1.0
site_1425__site_1713,site_1425,site_1713,5,5,5,4.63,0.044495,34.04,0.8711111111111111,0.8711111111111111,1.2,1.2,0.009828,0.010935,1.0
site_0786__site_0817,site_0786,site_0817,5,5,5,9.56,0.09023400000000001,32.04,0.9280555555555555,0.9280555555555555,1.0,3.6960000000000006,0.006,0.0418284,1.0
site_1289__site_1288,site_1289,site_1288,4,4,5,8.68,0.07251032,16.56,0.46875,0.46875,2.1399999999999997,3.0880000000000005,0.01840516,0.024205596000000003,1.0
site_0482__site_0465,site_0482,site_0465,4,5,5,6.56,0.043744000000000005,14.45,0.8198611111111112,0.8198611111111112,1.0,2.7920000000000003,0.0044485,0.023040000000000005,1.0
site_1881__site_1889,site_1881,site_1889,5,5,5,5.74,0.038841,35.42,1.3025,1.3025,1.0,1.816,0.004022,0.01422,1.0
site_0191__site_0257,site_0191,site_0257,5,5,5,4.5,0.027019,14.46,0.5291666666666667,0.5291666666666667,1.0,1.12,0.004875,0.007485,1.0
site_1071__site_1077,site_1071,site_1077,5,5,5,5.76,0.039150000000000004,21.4,0.8216666666666667,0.8216666666666667,1.0,1.416,0.006,0.011178,1.0
site_1542__site_1558,site_1542,site_1558,5,5,5,10.52,0.10064500000000001,30.36,1.4725,1.4725,1.0,4.04,0.004875,0.049125600000000005,1.0
site_1881__site_1848,site_1881,site_1848,4,4,5,4.5,0.020963000000000002,41.29,1.0119444444444445,1.0119444444444445,1.0,1.35,0.0044485,0.007093300000000001,1.0
site_1197__site_1194,site_1197,site_1194,5,5,5,9.629999999999999,0.08007900000000001,5.82,0.4175,0.4175,1.2,3.266,0.009225,0.0300744,1.0
site_1881__site_1828,site_1881,site_1828,5,5,5,12.23,0.133373,39.71,0.9786111111111111,0.9786111111111111,1.2,4.644,0.010935,0.0601472,1.0
site_0786__site_0796,site_0786,site_0796,4,4,5,6.04,0.04053,83.15,1.3452777777777778,1.3452777777777778,1.52,1.862,0.011072,0.0142848,1.0
site_1542__site_1557,site_1542,site_1557,5,5,5,10.09,0.103326,32.0,2.2469444444444444,2.2469444444444444,1.2,3.656,0.01053,0.0467592,1.0
site_1786__site_0034,site_1786,site_0034,5,5,5,10.88,0.088113,20.71,1.2447222222222223,1.2447222222222223,1.4,3.8680000000000003,0.008775,0.035862000000000005,1.0
site_0164__site_0031,site_0164,site_0031,3,4,5,9.459999999999999,0.07165,26.31,4.041944444444445,6.098166666666667,2.36,5.352,0.01755,0.043410000000000004,1.0
site_1542__site_1549,site_1542,site_1549,5,5,5,5.0,0.022941000000000003,37.36,1.6280555555555556,1.6280555555555556,1.0,1.0,0.004022,0.00555,1.0
site_0786__site_0820,site_0786,site_0820,4,4,5,4.85,0.031101999999999998,89.76,1.7915277777777778,1.7915277777777778,1.1,1.5150000000000001,0.007286,0.0099426,1.0
site_0164__site_0059,site_0164,site_0059,5,5,5,4.5,0.030713000000000004,22.13,0.8075,0.8075,1.0,1.1800000000000002,0.004022,0.010383800000000002,1.0
site_0348__site_1243,site_0348,site_1243,5,5,5,4.37,0.06174033,67.06,1.5041666666666667,1.5041666666666667,0.92,1.388,0.0078849,0.024880254000000004,1.0
site_0164__site_0069,site_0164,site_0069,4,4,5,4.76,0.035194,22.48,1.4570833333333333,1.4570833333333333,1.13,1.9180000000000004,0.0081075,0.0138719,1.0
site_1402__site_1691,site_1402,site_1691,5,5,5,14.47,0.1940184,48.68,2.3444444444444446,2.3444444444444446,2.35,4.308,0.021875,0.0682152,1.0
site_1197__site_1196,site_1197,site_1196,4,4,5,5.2,0.028275,33.11,1.0234722222222223,1.0234722222222223,1.1,1.7600000000000002,0.0068249999999999995,0.0094575,1.0
site_1071__site_1095,site_1071,site_1095,4,5,5,7.87,0.051839,48.0,1.0722222222222224,1.0722222222222224,2.0,2.849,0.0139635,0.019458000000000003,1.0
site_1921__site_1865,site_1921,site_1865,5,5,5,9.06,0.08807799999999999,9.0,0.6961111111111111,0.6961111111111111,1.0,3.3240000000000003,0.004022,0.0433392,1.0
site_0164__site_0147,site_0164,site_0147,4,4,5,5.9,0.038811,13.08,0.71375,0.71375,1.25,2.13,0.0064595,0.017722200000000004,1.0
site_0862__site_0882,site_0862,site_0882,4,4,5,7.66,0.09022,10.36,0.3159722222222222,0.3159722222222222,1.25,3.3620000000000005,0.0070220000000000005,0.05153640000000001,1.0
site_1786__site_0210,site_1786,site_0210,5,5,5,9.36,0.092995,6.21,0.7627777777777778,0.7627777777777778,1.0,3.5760000000000005,0.006,0.045615600000000006,1.0
site_0669__site_0522,site_0669,site_0522,2,3,5,11.32,0.12528,32.63,4.3405555555555555,4.695222222222222,5.66,8.3,0.06264,0.09684,1.0
site_0164__site_0176,site_0164,site_0176,4,4,5,5.7,0.036199,30.24,1.924027777777778,1.924027777777778,1.35,1.85,0.009287,0.011559,1.0
site_0690__site_2222,site_0690,site_2222,4,4,5,4.1,0.0394939,1124.61,18.575277777777778,18.575277777777778,0.8099999999999999,1.8150000000000002,0.008479150000000001,0.01563381,1.0
site_1749__site_2017,site_1749,site_2017,3,3,5,5.0600000000000005,0.03064,119.81,2.2327777777777778,2.2327777777777778,1.2,2.64,0.01053,0.0117588,1.0
site_1143__site_1148,site_1143,site_1148,5,5,5,7.720000000000001,0.051753770000000004,12.96,2.2644444444444445,2.2644444444444445,1.0,2.7560000000000002,0.004875,0.019511908,1.0
site_1749__site_1752,site_1749,site_1752,4,4,5,3.755,0.027694,30.674999999999997,1.3420833333333333,1.3420833333333333,1.0150000000000001,1.149,0.0068249999999999995,0.0096479,1.0
site_1737__site_2149,site_1737,site_2149,5,5,5,7.09,0.07215978,950.75,14.604722222222222,14.604722222222222,0.96,2.8200000000000003,0.011792440000000001,0.023006136,1.0
site_0164__site_0238,site_0164,site_0238,4,5,5,5.3,0.029126000000000003,9.8,1.9588194444444444,2.2064305555555555,1.15,1.7600000000000002,0.007677,0.00966,1.0
site_1786__site_0243,site_1786,site_0243,5,5,5,5.92,0.037498000000000004,48.41,1.6813888888888888,1.6813888888888888,1.0,1.6800000000000002,0.004875,0.0127116,1.0
site_0690__site_0573,site_0690,site_0573,3,3,5,4.07,0.025147000000000003,20.0,2.403611111111111,2.403611111111111,0.81,2.5620000000000003,0.00845,0.01183,1.0
site_0164__site_0297,site_0164,site_0297,5,5,5,7.38,0.037145000000000004,32.14,1.7677777777777777,1.7677777777777777,2.0,2.0,0.008748,0.00975,1.0
