lane_id,departure_site_id,arrival_site_id,physical_legs,vehicle_distance_km,emissions_kgco2_min,emissions_kgco2_max,waybills
lane_02533,site_2095,site_1725,42,9608.5,7519.828511913016,7519.828511913016,68
lane_02531,site_2095,site_1701,5,8478.45,7466.413865008559,7466.413865008559,6
lane_00236,site_0255,site_1573,39,9617.01,7428.583249736606,7428.583249736606,145
lane_02546,site_2095,site_2279,5,8548.05,7341.514785714286,7341.514785714286,5
lane_02509,site_2095,site_0828,28,9109.21,7142.032296774085,7142.032296774085,52
lane_02512,site_2095,site_0941,4,7173.52,6317.247750345428,6317.247750345428,4
lane_02508,site_2095,site_0819,7,6923.56,6097.124401184021,6097.124401184021,9
lane_00233,site_0255,site_1414,54,7776.0,6006.509648004094,6006.509648004094,318
lane_00238,site_0255,site_2095,132,7625.25,5863.105385392482,5874.709264164169,1727
lane_00235,site_0255,site_1530,39,7234.110000000001,5628.068154373452,5628.068154373452,350
lane_02525,site_2095,site_1369,30,7002.95,5535.925727135083,5535.925727135083,42
lane_00334,site_0368,site_2119,4,6183.43,5445.340538106597,5445.340538106597,4
lane_02538,site_2095,site_2064,21,6723.1900000000005,5331.9578406217515,5331.9578406217515,26
lane_02517,site_2095,site_1133,46,6712.4,5184.940247075962,5184.940247075962,112
lane_02536,site_2095,site_1998,5,5674.33,4874.243911961341,4874.243911961341,6
lane_01321,site_1192,site_1391,16,5485.900000000001,4831.071696129653,4831.071696129653,35
lane_01327,site_1192,site_2136,14,5403.16,4758.2080143021,4758.2080143021,14
lane_00230,site_0255,site_1063,31,5938.83,4587.402223875535,4587.402223875535,171
lane_02501,site_2095,site_0373,9,5553.0,4556.389278051892,4556.389278051892,15
lane_01096,site_0964,site_1118,7,4848.67,4269.905102330148,4269.905102330148,7
lane_02040,site_1714,site_2119,5,4753.75,4186.315294751333,4186.315294751333,5
lane_02520,site_2095,site_1248,4,4795.44,4093.3216212394095,4093.3216212394095,9
lane_00227,site_0255,site_0782,36,5020.92,3878.3699102181995,3878.3699102181995,91
lane_02537,site_2095,site_2011,6,4782.6900000000005,3779.4452905132484,3779.4452905132484,7
lane_02555,site_2119,site_0164,87,4872.0,3763.3378350149114,3763.3378350149114,110
lane_02549,site_2095,site_2366,8,4686.96,3747.1782962880843,3747.1782962880843,10
lane_00751,site_0686,site_2192,4,4497.01,3717.0278688570133,3717.0278688570133,5
lane_00425,site_0450,site_2095,3,4383.33,3702.0300125743242,3702.0300125743242,3
lane_02001,site_1637,site_0191,5,4145.89,3651.012930288005,3651.012930288005,5
lane_01705,site_1497,site_0164,22,4169.18,3582.7749939797272,3582.7749939797272,36
